"id";"query";"link";"name";"created_at";"updated_at"
"1";"dnsbl-1.uceprotect.net";"http://www.uceprotect.net/";"Uceprotect";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2";"dnsbl-2.uceprotect.net";"http://www.uceprotect.net/";"Uceprotect";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"3";"dnsbl-3.uceprotect.net";"http://www.uceprotect.net/";"Uceprotect";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"4";"access.redhawk.org";"https://www.redhawk.org/SpamHawk/query.php";"Red Hawk";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"5";"all.spamrats.com";"http://www.spamrats.com/about.php";"Spam Rats";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"6";"bl.spamcop.net";"https://www.spamcop.net/bl.shtml";"Spam Cop";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"7";"rbl.realtimeblacklist.com";"https://realtimeblacklist.com/";"Realtime Blacklist";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"8";"cbl.abuseat.org";"https://www.abuseat.org/";"Abuseat";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"9";"dnsbl.sorbs.net";"http://www.sorbs.net/";"Sorbs";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"10";"http.dnsbl.sorbs.net";"http://www.sorbs.net/";"Sorbs";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"11";"socks.dnsbl.sorbs.net";"http://www.sorbs.net/";"Sorbs";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"12";"misc.dnsbl.sorbs.net";"http://www.sorbs.net/";"Sorbs";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"13";"smtp.dnsbl.sorbs.net";"http://www.sorbs.net/";"Sorbs";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"14";"web.dnsbl.sorbs.net";"http://www.sorbs.net/";"Sorbs";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"15";"spam.dnsbl.sorbs.net";"http://www.sorbs.net/";"Sorbs";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"16";"dul.dnsbl.sorbs.net";"http://www.sorbs.net/";"Sorbs";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"17";"db.wpbl.info";"http://www.wpbl.info/";"WPBL";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"18";"dyna.spamrats.com";"http://www.spamrats.com/about.php";"SpamRats";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"19";"ips.backscatterer.org";"http://www.backscatterer.org/";"Backscatterer";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"20";"blackholes.five-ten-sg.com";"http://www.five-ten-sg.com/mapper";"Five Ten";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"21";"blacklist.woody.ch";"http://blacklist.woody.ch/rblcheck.php3";"Woody";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"22";"combined.rbl.msrbl.net";"http://msrbl.blogspot.de/";"MSRBL";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"23";"ix.dnsbl.manitu.net";"http://www.dnsbl.manitu.net/";"Nix Spam";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"24";"noptr.spamrats.com";"http://www.spamrats.com/about.php";"Spam Rats";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"25";"phishing.rbl.msrbl.net";"http://msrbl.blogspot.de/";"MSRBL";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"26";"psbl.surriel.com";"https://psbl.org/";"Spamikaze";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"27";"rbl.interserver.net";"http://rbldata.interserver.net/";"Inter Server";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"28";"images.rbl.msrbl.net";"http://msrbl.blogspot.de/";"MSRBL";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"29";"korea.services.net";"http://korea.services.net/";"Korean Service";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"30";"spam.rbl.msrbl.net";"http://msrbl.blogspot.de/";"MSRBL";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"31";"short.rbl.jp";"http://www.rbl.jp/";"RBL";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"32";"virus.rbl.msrbl.net";"http://msrbl.blogspot.de/";"MSRBL";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"33";"wormrbl.imp.ch";"http://antispam.imp.ch/";"Impro Ware";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"34";"zombie.dnsbl.sorbs.net";"http://www.sorbs.net/";"Sorbs";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"35";"spam.spamrats.com";"http://www.spamrats.com/about.php";"Spam Rats";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"36";"auth.spamrats.com";"http://www.spamrats.com/about.php";"Spam Rats";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"37";"dnsbl.kempt.net";"http://www.kempt.net/dnsbl/";"Kempt";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"38";"dnsrbl.swinog.ch";"http://antispam.imp.ch/";"Swinog";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"39";"multi.surbl.org";"http://www.surbl.org/";"Surbl";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"40";"mail-abuse.blacklist.jippg.org";"blacklist.jippg.org";"JIPPG's Relay Blackhole List";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
